simulation names,InChI
H,1S/H
H2,1S/H2/h1H
O,1S/O
O2,1S/O2/c1-2
OH,1S/HO/h1H
OHV,1S/HO/h1H
H2O,1S/H2O/h1H2
N2,1S/N2/c1-2
HO2,1S/HO2/c1-2/h1H
H2O2,1S/H2O2/c1-2/h1-2H
AR,1S/Ar
CO,1S/CO/c1-2
CO2,1S/CO2/c2-1-3
CH2O,1S/CH2O/c1-2/h1H2
HCO,1S/CHO/c1-2/h1H
HO2CHO,"1S/CH2O3/c2-1-4-3/h1,3H"
HCOH,1S/CH2O/c1-2/h1-2H
O2CHO,1S/CHO3/c2-1-4-3/h1H
HOCHO,"1S/CH2O2/c2-1-3/h1H,(H,2,3)"
OCHO,1S/CHO2/c2-1-3/h1H
HOCH2O2H,"1S/CH4O3/c2-1-4-3/h2-3H,1H2"
HOCH2O2,"1S/CH3O3/c2-1-4-3/h2H,1H2"
OCH2O2H,"1S/CH3O3/c2-1-4-3/h3H,1H2"
HOCH2O,"1S/CH3O2/c2-1-3/h2H,1H2"
CH3OH,"1S/CH4O/c1-2/h2H,1H3"
CH2OH,"1S/CH3O/c1-2/h2H,1H2"
CH3O,1S/CH3O/c1-2/h1H3
CH3O2H,"1S/CH4O2/c1-3-2/h2H,1H3"
CH3O2,1S/CH3O2/c1-3-2/h1H3
CH4,1S/CH4/h1H4
CH3,1S/CH3/h1H3
CH2,1S/CH2/h1H2
CH2(S),1S/CH2/h1H2
C,1S/C
CH,1S/CH/H1h
CHV,1S/CH/H1h
C2H6,1S/C2H6/c1-2/h1-2H3
C2H5,"1S/C2H5/c1-2/h1H2,2H3"
C2H4,1S/C2H4/c1-2/h1-2H2
C2H3,"1S/C2H3/c1-2/h1H,2H2"
C2H2,1S/C2H2/c1-2/h1-2H
C2H,1S/C2H/c1-2/h1H
CH3CHO,"1S/C2H4O/c1-2-3/h2H,1H3"
C2H3OH,"1S/C2H4O/c1-2-3/h2-3H,1H2"
C2H2OH,1S/C2H3O/c1-2-3/h1-3H
CH3CO,1S/C2H3O/c1-2-3/h1H3
CH2CHO,"1S/C2H3O/c1-2-3/h2H,1H2"
O2CH2CHO,"1S/C2H3O3/c3-1-2-5-4/h1H,2H2"
HO2CH2CO,"1S/C2H3O3/c3-1-2-5-4/h4H,2H2"
CH2CO,1S/C2H2O/c1-2-3/h1H2
HCCO,1S/C2HO/c1-2-3/h1H
HCCOH,"1S/C2H2O/c1-2-3/h1,3H"
CH3CO3H,"1S/C2H4O3/c1-2(3)5-4/h4H,1H3"
CH3CO3,1S/C2H3O3/c1-2(3)5-4/h1H3
CH3CO2,1S/C2H3O2/c1-2(3)4/h1H3
C2H5OH,"1S/C2H6O/c1-2-3/h3H,2H2,1H3"
C2H5O,"1S/C2H5O/c1-2-3/h2H2,1H3"
PC2H4OH,"1S/C2H5O/c1-2-3/h3H,1-2H2"
SC2H4OH,"1S/C2H5O/c1-2-3/h2-3H,1H3"
O2C2H4OH,"1S/C2H5O3/c3-1-2-5-4/h3H,1-2H2"
C2H5O2H,"1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3"
C2H5O2,"1S/C2H5O2/c1-2-4-3/h2H2,1H3"
C2H4O2H,"1S/C2H5O2/c1-2-4-3/h3H,1-2H2"
C2H4O1-2,1S/C2H4O/c1-2-3-1/h1-2H2
C2H3O1-2,"1S/C2H3O/c1-2-3-1/h1H,2H2"
CH3COCH3,1S/C3H6O/c1-3(2)4/h1-2H3
CH3COCH2,"1S/C3H5O/c1-3(2)4/h1H2,2H3"
CH3COCH2O2,"1S/C3H5O3/c1-3(4)2-6-5/h2H2,1H3"
C3KET21,"1S/C3H6O3/c1-3(4)2-6-5/h5H,2H2,1H3"
C2H3CHO,"1S/C3H4O/c1-2-3-4/h2-3H,1H2"
C2H3CO,"1S/C3H3O/c1-2-3-4/h2H,1H2"
C2H5CHO,"1S/C3H6O/c1-2-3-4/h3H,2H2,1H3"
C2H5CO,"1S/C3H5O/c1-2-3-4/h2H2,1H3"
CH3OCH3,1S/C2H6O/c1-3-2/h1-2H3
CH3OCH2,"1S/C2H5O/c1-3-2/h1H2,2H3"
CH3OCH2O2,"1S/C2H5O3/c1-4-2-5-3/h2H2,1H3"
CH2OCH2O2H,"1S/C2H5O3/c1-4-2-5-3/h3H,1-2H2"
CH3OCH2O2H,"1S/C2H6O3/c1-4-2-5-3/h3H,2H2,1H3"
CH3OCH2O,"1S/C2H5O2/c1-4-2-3/h2H2,1H3"
O2CH2OCH2O2H,"1S/C2H5O5/c3-6-1-5-2-7-4/h3H,1-2H2"
HO2CH2OCHO,"1S/C2H4O4/c3-1-5-2-6-4/h1,4H,2H2"
OCH2OCHO,"1S/C2H3O3/c3-1-5-2-4/h1H,2H2"
HOCH2OCO,"1S/C2H3O3/c3-1-5-2-4/h3H,1H2"
CH3OCHO,"1S/C2H4O2/c1-4-2-3/h2H,1H3"
CH3OCO,1S/C2H3O2/c1-4-2-3/h1H3
CH2OCHO,"1S/C2H3O2/c1-4-2-3/h2H,1H2"
HE,1S/He
C3H8,"1S/C3H8/c1-3-2/h3H2,1-2H3"
IC3H7,"1S/C3H7/c1-3-2/h3H,1-2H3"
NC3H7,"1S/C3H7/c1-3-2/h1,3H2,2H3"
C3H6,"1S/C3H6/c1-3-2/h3H,1H2,2H3"
C3H5-A,"1S/C3H5/c1-3-2/h3H,1-2H2"
C3H5-S,"1S/C3H5/c1-3-2/h1,3H,2H3"
C3H5-T,"1S/C3H5/c1-3-2/h1H2,2H3"
C3H4-P,"1S/C3H4/c1-3-2/h1H,2H3"
C3H4-A,1S/C3H4/c1-3-2/h1-2H2
C3H3,"1S/C3H3/c1-3-2/h1H,2H2"
C3H5O,"1S/C3H5O/c1-2-3-4/h2H,1,3H2"
C3H6OOH1-2,"1S/C3H7O2/c1-2-3-5-4/h2,4H,3H2,1H3"
C3H6OOH1-3,"1S/C3H7O2/c1-2-3-5-4/h4H,1-3H2"
C3H6OOH2-1,"1S/C3H7O2/c1-3(2)5-4/h3-4H,1H2,2H3"
C3H6OOH1-2O2,"1S/C3H7O4/c1-3(7-5)2-6-4/h3-4H,2H2,1H3"
C3H6OOH1-3O2,"1S/C3H7O4/c4-6-2-1-3-7-5/h4H,1-3H2"
C3H6OOH2-1O2,"1S/C3H7O4/c1-3(7-5)2-6-4/h3,5H,2H2,1H3"
NC3H7O2H,"1S/C3H8O2/c1-2-3-5-4/h4H,2-3H2,1H3"
IC3H7O2H,"1S/C3H8O2/c1-3(2)5-4/h3-4H,1-2H3"
NC3H7O2,"1S/C3H7O2/c1-2-3-5-4/h2-3H2,1H3"
IC3H7O2,"1S/C3H7O2/c1-3(2)5-4/h3H,1-2H3"
NC3H7O,"1S/C3H7O/c1-2-3-4/h2-3H2,1H3"
IC3H7O,"1S/C3H7O/c1-3(2)4/h3H,1-2H3"
C3H6O1-2,"1S/C3H6O/c1-3-2-4-3/h3H,2H2,1H3"
C3H6O1-3,1S/C3H6O/c1-2-4-3-1/h1-3H2
C3KET12,"1S/C3H6O3/c1-3(2-4)6-5/h2-3,5H,1H3"
C3KET13,"1S/C3H6O3/c4-2-1-3-6-5/h2,5H,1,3H2"
"C3H51-2,3OOH","1S/C3H7O4/c1-3(7-5)2-6-4/h3-5H,1-2H2"
"C3H52-1,3OOH","1S/C3H7O4/c4-6-2-1-3-7-5/h1,4-5H,2-3H2"
C3H5O1-2OOH-3,"1S/C3H6O3/c4-6-2-3-1-5-3/h3-4H,1-2H2"
C3H5O1-3OOH-2,"1S/C3H6O3/c4-6-3-1-5-2-3/h3-4H,1-2H2"
C3H6OH1-2,"1S/C3H7O/c1-2-3-4/h2,4H,3H2,1H3"
CH3CHCO,"1S/C3H4O/c1-2-3-4/h2H,1H3"
AC3H5OOH,"1S/C3H6O2/c1-2-3-5-4/h2,4H,1,3H2"
C2H3OOH,"1S/C2H4O2/c1-2-4-3/h2-3H,1H2"
CC3H4,"1S/C3H4/c1-2-3-1/h1-2H,3H2"
H2CC,1S/C2H2/c1-2/H1h2
FULVENE,"1S/C6H6/c1-6-4-2-3-5-6/h2-5H,1H2"
CC3H6,1S/C3H6/c1-2-3-1/h1-3H2
C4H10,"1S/C4H10/c1-3-4-2/h3-4H2,1-2H3"
C4H8-1,"1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3"
C4H8-2,"1S/C4H8/c1-3-4-2/h3-4H,1-2H3"
PC4H9,"1S/C4H9/c1-3-4-2/h1,3-4H2,2H3"
SC4H9,"1S/C4H9/c1-3-4-2/h3H,4H2,1-2H3"
C4H71-1,"1S/C4H7/c1-3-4-2/h1,3H,4H2,2H3"
C4H71-2,"1S/C4H7/c1-3-4-2/h1,4H2,2H3"
C4H71-3,"1S/C4H7/c1-3-4-2/h3-4H,1H2,2H3"
C4H71-4,"1S/C4H7/c1-3-4-2/h3H,1-2,4H2"
C4H72-2,"1S/C4H7/c1-3-4-2/h3H,1-2H3"
C4H6,"1S/C4H6/c1-3-4-2/h3-4H,1-2H2"
PC4H9O2H,"1S/C4H10O2/c1-2-3-4-6-5/h5H,2-4H2,1H3"
SC4H9O2H,"1S/C4H10O2/c1-3-4(2)6-5/h4-5H,3H2,1-2H3"
PC4H9O2,"1S/C4H9O2/c1-2-3-4-6-5/h2-4H2,1H3"
SC4H9O2,"1S/C4H9O2/c1-3-4(2)6-5/h4H,3H2,1-2H3"
PC4H9O,"1S/C4H9O/c1-2-3-4-5/h2-4H2,1H3"
SC4H9O,"1S/C4H9O/c1-3-4(2)5/h4H,3H2,1-2H3"
C4H71-O,"1S/C4H7O/c1-3-4(2)5/h3-4H,1H2,2H3"
C4H8O1-2,"1S/C4H8O/c1-2-4-3-5-4/h4H,2-3H2,1H3"
C4H8O1-3,"1S/C4H8O/c1-4-2-3-5-4/h4H,2-3H2,1H3"
C4H8O1-4,1S/C4H8O/c1-2-4-5-3-1/h1-4H2
C4H8O2-3,"1S/C4H8O/c1-3-4(2)5-3/h3-4H,1-2H3"
SC4H8OH-3,"1S/C4H9O/c1-3-4(2)5/h3-5H,1-2H3"
C4H8OOH1-2,"1S/C4H9O2/c1-2-3-4-6-5/h3,5H,2,4H2,1H3"
C4H8OOH1-3,"1S/C4H9O2/c1-2-3-4-6-5/h2,5H,3-4H2,1H3"
C4H8OOH1-4,"1S/C4H9O2/c1-2-3-4-6-5/h5H,1-4H2"
C4H8OOH2-1,"1S/C4H9O2/c1-3-4(2)6-5/h4-5H,2-3H2,1H3"
C4H8OOH2-3,"1S/C4H9O2/c1-3-4(2)6-5/h3-5H,1-2H3"
C4H8OOH2-4,"1S/C4H9O2/c1-3-4(2)6-5/h4-5H,1,3H2,2H3"
C4H8OOH1-2O2,"1S/C4H9O4/c1-2-4(8-6)3-7-5/h4-5H,2-3H2,1H3"
C4H8OOH1-3O2,"1S/C4H9O4/c1-4(8-6)2-3-7-5/h4-5H,2-3H2,1H3"
C4H8OOH1-4O2,"1S/C4H9O4/c5-7-3-1-2-4-8-6/h5H,1-4H2"
C4H8OOH2-1O2,"1S/C4H9O4/c1-2-4(8-6)3-7-5/h4,6H,2-3H2,1H3"
C4H8OOH2-3O2,"1S/C4H9O4/c1-3(7-5)4(2)8-6/h3-5H,1-2H3"
C4H8OOH2-4O2,"1S/C4H9O4/c1-4(8-6)2-3-7-5/h4,6H,2-3H2,1H3"
C4H72-1OOH,"1S/C4H8O2/c1-2-3-4-6-5/h2-3,5H,4H2,1H3"
C4H71-4OOH,"1S/C4H8O2/c1-2-3-4-6-5/h2,5H,1,3-4H2"
C4H71-3OOH,"1S/C4H8O2/c1-3-4(2)6-5/h3-5H,1H2,2H3"
"C4H71-3,4OOH","1S/C4H9O4/c1-2-4(8-6)3-7-5/h4-6H,1-3H2"
"C4H72-3,4OOH","1S/C4H9O4/c1-2-4(8-6)3-7-5/h2,4-6H,3H2,1H3"
"C4H71-2,4OOH","1S/C4H9O4/c1-4(8-6)2-3-7-5/h4-6H,1-3H2"
"C4H72-1,3OOH","1S/C4H9O4/c1-4(8-6)2-3-7-5/h2,4-6H,3H2,1H3"
"C4H72-1,4OOH","1S/C4H9O4/c5-7-3-1-2-4-8-6/h1,5-6H,2-4H2"
"C4H71-2,3OOH","1S/C4H9O4/c1-3(7-5)4(2)8-6/h3-6H,1H2,2H3"
C4H7O1-3OOH-4,"1S/C4H8O3/c5-7-3-4-1-2-6-4/h4-5H,1-3H2"
C4H7O1-3OOH-2,"1S/C4H8O3/c1-3-4(7-5)2-6-3/h3-5H,2H2,1H3"
C4H7O1-2OOH-4,"1S/C4H8O3/c5-7-2-1-4-3-6-4/h4-5H,1-3H2"
C4H7O1-4OOH-2,"1S/C4H8O3/c5-7-4-1-2-6-3-4/h4-5H,1-3H2"
C4H7O1-2OOH-3,"1S/C4H8O3/c1-3(7-5)4-2-6-4/h3-5H,2H2,1H3"
C4H7O2-3OOH-1,"1S/C4H8O3/c1-3-4(7-3)2-6-5/h3-5H,2H2,1H3"
HO2CH2CHO,"1S/C2H4O3/c3-1-2-5-4/h1,4H,2H2"
NC4KET12,"1S/C4H8O3/c1-2-4(3-5)7-6/h3-4,6H,2H2,1H3"
NC4KET13,"1S/C4H8O3/c1-4(7-6)2-3-5/h3-4,6H,2H2,1H3"
NC4KET14,"1S/C4H8O3/c5-3-1-2-4-7-6/h3,6H,1-2,4H2"
NC4KET21,"1S/C4H8O3/c1-2-4(5)3-7-6/h6H,2-3H2,1H3"
NC4KET23,"1S/C4H8O3/c1-3(5)4(2)7-6/h4,6H,1-2H3"
NC4KET24,"1S/C4H8O3/c1-4(5)2-3-7-6/h6H,2-3H2,1H3"
C2H5COCH3,"1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
C2H5COCH2,"1S/C4H7O/c1-3-4(2)5/h2-3H2,1H3"
CH2CH2COCH3,"1S/C4H7O/c1-3-4(2)5/h1,3H2,2H3"
CH3CHCOCH3,"1S/C4H7O/c1-3-4(2)5/h3H,1-2H3"
C2H3COCH3,"1S/C4H6O/c1-3-4(2)5/h3H,1H2,2H3"
CH3CHOOCOCH3,"1S/C4H7O3/c1-3(5)4(2)7-6/h4H,1-2H3"
CH2CHOOHCOCH3,"1S/C4H7O3/c1-3(5)4(2)7-6/h4,6H,2H2,1H3"
NC3H7CHO,"1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3"
NC3H7CO,"1S/C4H7O/c1-2-3-4-5/h2-3H2,1H3"
C3H6CHO-3,"1S/C4H7O/c1-2-3-4-5/h3-4H,2H2,1H3"
C3H6CHO-2,"1S/C4H7O/c1-2-3-4-5/h2,4H,3H2,1H3"
C3H6CHO-1,"1S/C4H7O/c1-2-3-4-5/h4H,1-3H2"
C2H5CHCO,"1S/C4H6O/c1-2-3-4-5/h3H,2H2,1H3"
SC3H5CHO,"1S/C4H6O/c1-2-3-4-5/h2-4H,1H3"
SC3H5CO,"1S/C4H5O/c1-2-3-4-5/h2-3H,1H3"
CH2CH2CHO,"1S/C3H5O/c1-2-3-4/h3H,1-2H2"
C4H7O2-1,"1S/C4H7O/c1-2-3-4-5/h2-3H,4H2,1H3"
IC4H10,"1S/C4H10/c1-4(2)3/h4H,1-3H3"
IC4H9,"1S/C4H9/c1-4(2)3/h4H,1H2,2-3H3"
IC4H8,"1S/C4H8/c1-4(2)3/h1H2,2-3H3"
IC4H7,"1S/C4H7/c1-4(2)3/h1-2H2,3H3"
TC4H9,1S/C4H9/c1-4(2)3/h1-3H3
TC4H9O2,"1S/C4H9O2/c1-4(2,3)6-5/h1-3H3"
IC4H7OOCH3,"1S/C5H10O2/c1-5(2)4-7-6-3/h1,4H2,2-3H3"
IC4H7OOIC4H7,"1S/C8H14O2/c1-7(2)5-9-10-6-8(3)4/h1,3,5-6H2,2,4H3"
IC3H5OCH2,"1S/C4H7O/c1-4(2)5-3/h1,3H2,2H3"
IC4H7-I1,"1S/C4H7/c1-4(2)3/h1H,2-3H3"
IC4H8OH-IT,"1S/C4H9O/c1-4(2)3-5/h5H,3H2,1-2H3"
IC4H8OH-TI,"1S/C4H9O/c1-4(2,3)5/h5H,1H2,2-3H3"
IQJC4H8OH,"1S/C4H9O3/c1-4(2,5)3-7-6/h5H,3H2,1-2H3"
IQC4H8OT,"1S/C4H9O3/c1-4(2,5)3-7-6/h6H,3H2,1-2H3"
TQJC4H8OH,"1S/C4H9O3/c1-4(2,3-5)7-6/h5H,3H2,1-2H3"
TQC4H8OI,"1S/C4H9O3/c1-4(2,3-5)7-6/h6H,3H2,1-2H3"
TQC4H7OHI,"1S/C4H9O3/c1-4(2,3-5)7-6/h3,5-6H,1-2H3"
IC3H4CHO-A,"1S/C4H5O/c1-4(2)3-5/h3H,1-2H2"
QC4H7OHP,"1S/C4H9O3/c1-4(2,3-5)7-6/h5-6H,1,3H2,2H3"
IQC4H7OHT,"1S/C4H9O3/c1-4(2,5)3-7-6/h5-6H,1,3H2,2H3"
C2CY(COC)OH,"1S/C4H8O2/c1-4(2)3(5)6-4/h3,5H,1-2H3"
CCY(CCO)COH,"1S/C4H8O2/c1-4(2-5)3-6-4/h5H,2-3H2,1H3"
CCY(CCOC)OH,"1S/C4H8O2/c1-4(5)2-6-3-4/h5H,2-3H2,1H3"
IC3H6OHCHO,"1S/C4H8O2/c1-4(2,6)3-5/h3,6H,1-2H3"
IC3H5COHQ,"1S/C4H8O3/c1-3(2)4(5)7-6/h4-6H,1H2,2H3"
IC3H5Q,"1S/C3H6O2/c1-3(2)5-4/h4H,1H2,2H3"
TQC4H7OHIO2,"1S/C4H9O5/c1-4(2,9-7)3(5)8-6/h3,5,7H,1-2H3"
TQC4H7OHIQ-I,"1S/C4H9O5/c1-4(2,9-7)3(5)8-6/h3,6-7H,1-2H3"
TQC4H7OHIQ-P,"1S/C4H9O5/c1-4(2,9-7)3(5)8-6/h3,5-7H,1H2,2H3"
CH2CQCOHQ,"1S/C3H6O5/c1-2(7-5)3(4)8-6/h3-6H,1H2"
COHQCYC(COC),"1S/C4H8O4/c1-4(2-7-4)3(5)8-6/h3,5-6H,2H2,1H3"
QCYC(CCOC)OH,"1S/C4H8O4/c1-4(8-6)2-7-3(4)5/h3,5-6H,2H2,1H3"
TQC4H7OHTO2,"1S/C4H9O5/c1-4(2,9-7)3(5)8-6/h3,5-6H,1-2H3"
HOCOCQ(CH3)2,"1S/C4H8O4/c1-4(2,8-7)3(5)6/h7H,1-2H3,(H,5,6)"
IQC4H7OHTO2,"1S/C4H9O5/c1-4(5,2-8-6)3-9-7/h5-6H,2-3H2,1H3"
TC3H6OH,"1S/C3H7O/c1-3(2)4/h4H,1-2H3"
IQC4H7OHTQ-P,"1S/C4H9O5/c1-4(5,2-8-6)3-9-7/h5-7H,1-3H2"
IQC4H8OTQ-I,"1S/C4H9O5/c1-4(5,2-8-6)3-9-7/h6-7H,2-3H2,1H3"
CH2COHCH2OOH,"1S/C3H6O3/c1-3(4)2-6-5/h4-5H,1-2H2"
IC4H6Q2-II,"1S/C4H8O4/c1-4(2-7-5)3-8-6/h5-6H,1-3H2"
CO(CH2OOH)2,"1S/C3H6O5/c4-3(1-7-5)2-8-6/h5-6H,1-2H2"
CHOC(CH3)OHCH2Q,"1S/C4H8O4/c1-4(6,2-5)3-8-7/h2,6-7H,3H2,1H3"
CH3COCHO,"1S/C3H4O2/c1-3(5)2-4/h2H,1H3"
SC4H7OH-I,"1S/C4H8O/c1-4(2)3-5/h3,5H,1-2H3"
H15DE25DM,"1S/C8H14/c1-7(2)5-6-8(3)4/h1,3,5-6H2,2,4H3"
H15DE25DM-S,"1S/C8H13/c1-7(2)5-6-8(3)4/h5H,1,3,6H2,2,4H3"
H15DE25DM-A,"1S/C8H13/c1-7(2)5-6-8(3)4/h1-3,5-6H2,4H3"
H15DE25DM-AO,"1S/C8H13O/c1-7(2)4-5-8(3)6-9/h1,3-6H2,2H3"
H15DE2M-T,"1S/C7H11/c1-4-5-6-7(2)3/h1-2,5-6H2,3H3"
H15DE25DM-SO,"1S/C8H13O/c1-6(2)5-8(9)7(3)4/h8H,1,3,5H2,2,4H3"
IC4H7CHO,"1S/C5H8O/c1-5(2)3-4-6/h4H,1,3H2,2H3"
AC5H10,"1S/C5H10/c1-4-5(2)3/h2,4H2,1,3H3"
AC5H9-A2,"1S/C5H9/c1-4-5(2)3/h2-4H2,1H3"
IC4H7O2,"1S/C4H7O2/c1-4(2)3-6-5/h1,3H2,2H3"
IC4H6OOH-I,"1S/C4H7O2/c1-4(2)3-6-5/h5H,1-3H2"
CCYCCOOC-T1,"1S/C4H7O2/c1-4-2-5-6-3-4/h2-3H2,1H3"
CCYCCOOC-I2,"1S/C4H7O2/c1-4-2-5-6-3-4/h2,4H,3H2,1H3"
CHOIC3H6O,"1S/C4H7O2/c1-4(2-5)3-6/h2,4H,3H2,1H3"
CCYCCO-T1,"1S/C3H5O/c1-3-2-4-3/h2H2,1H3"
C2CYCOOC-I1,"1S/C4H7O2/c1-4(2)3-5-6-4/h1,3H2,2H3"
IC3H5OOCH2,"1S/C4H7O2/c1-4(2)6-5-3/h1,3H2,2H3"
