simulation names,InChI
B2E3M1OJ,"1S/C5H9O/c1-5(2)3-4-6/h3H,4H2,1-2H3"
B13DE2M,"1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3"
AC5H9-D,"1S/C5H9/c1-4-5(2)3/h1-2,4H2,3H3"
B13DE2MJ,"1S/C5H7/c1-4-5(2)3/h4H,1-3H2"
AC5H9-C,"1S/C5H9/c1-4-5(2)3/h4H,2H2,1,3H3"
CC5H9-A,"1S/C5H9/c1-4-5(2)3/h4-5H,1-2H2,3H3"
AC5H9O-C,"1S/C5H9O/c1-4(2)5(3)6/h5H,1H2,2-3H3"
B2E2M1OJ,"1S/C5H9O/c1-3-5(2)4-6/h3H,4H2,1-2H3"
CC5H9O-B,"1S/C5H9O/c1-4-5(2,3)6/h4H,1H2,2-3H3"
B12DE3M,"1S/C5H8/c1-4-5(2)3/h1H2,2-3H3"
CC5H9-B,"1S/C5H9/c1-4-5(2)3/h4H,1H2,2-3H3"
IC4H9O2,"1S/C4H9O2/c1-4(2)3-6-5/h4H,3H2,1-2H3"
TC4H8O2H-I,"1S/C4H9O2/c1-4(2,3)6-5/h5H,1H2,2-3H3"
IC4H8O2H-I,"1S/C4H9O2/c1-4(2)3-6-5/h4-5H,1,3H2,2H3"
IC4H8O2H-T,"1S/C4H9O2/c1-4(2)3-6-5/h5H,3H2,1-2H3"
IC4H8O,"1S/C4H8O/c1-4(2)3-5-4/h3H2,1-2H3"
CC4H8O,"1S/C4H8O/c1-4-2-5-3-4/h4H,2-3H2,1H3"
IC4H9O,"1S/C4H9O/c1-4(2)3-5/h4H,3H2,1-2H3"
TC4H9O,"1S/C4H9O/c1-4(2,3)5/h1-3H3"
IC4H9O2H,"1S/C4H10O2/c1-4(2)3-6-5/h4-5H,3H2,1-2H3"
TC4H9O2H,"1S/C4H10O2/c1-4(2,3)6-5/h5H,1-3H3"
IC4H7O,"1S/C4H7O/c1-4(2)3-5/h1,3H2,2H3"
IC4H8OH,"1S/C4H9O/c1-4(2)3-5/h4-5H,1,3H2,2H3"
IC3H7CHO,"1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3"
TC3H6CHO,"1S/C4H7O/c1-4(2)3-5/h3H,1-2H3"
IC3H7CO,"1S/C4H7O/c1-4(2)3-5/h4H,1-2H3"
IC3H6CHO,"1S/C4H7O/c1-4(2)3-5/h3-4H,1H2,2H3"
TC4H8OOH-IO2,"1S/C4H9O4/c1-4(2,8-6)3-7-5/h6H,3H2,1-2H3"
IC4H8OOH-IO2,"1S/C4H9O4/c1-4(2-7-5)3-8-6/h4-5H,2-3H2,1H3"
IC4H8OOH-TO2,"1S/C4H9O4/c1-4(2,8-6)3-7-5/h5H,3H2,1-2H3"
IC4KETII,"1S/C4H8O3/c1-4(2-5)3-7-6/h2,4,6H,3H2,1H3"
IC4KETIT,"1S/C4H8O3/c1-4(2,3-5)7-6/h3,6H,1-2H3"
IC4H7OH,"1S/C4H8O/c1-4(2)3-5/h5H,1,3H2,2H3"
IC4H6OH,"1S/C4H7O/c1-4(2)3-5/h5H,1-3H2"
IC3H5CHO,"1S/C4H6O/c1-4(2)3-5/h3H,1H2,2H3"
IC3H5CO,"1S/C4H5O/c1-4(2)3-5/h1H2,2H3"
TC3H6OCHO,"1S/C4H7O2/c1-4(2,6)3-5/h3H,1-2H3"
IC3H6CO,1S/C4H6O/c1-4(2)3-5/h1-2H3
IC4H7OOH,"1S/C4H8O2/c1-4(2)3-6-5/h5H,1,3H2,2H3"
C3H6OH2-1,"1S/C3H7O/c1-3(2)4/h3-4H,1H2,2H3"
IC3H5OH,"1S/C3H6O/c1-3(2)4/h4H,1H2,2H3"
TC3H6O2CHO,"1S/C4H7O3/c1-4(2,3-5)7-6/h3H,1-2H3"
TC3H6O2HCO,"1S/C4H7O3/c1-4(2,3-5)7-6/h6H,1-2H3"
IC3H5O2HCHO,"1S/C4H7O3/c1-4(2,3-5)7-6/h3,6H,1H2,2H3"
CH2CCH2OH,"1S/C3H5O/c1-2-3-4/h4H,1,3H2"
TC4H8CHO,"1S/C5H9O/c1-5(2,3)4-6/h4H,1H2,2-3H3"
O2C4H8CHO,"1S/C5H9O3/c1-5(2,3-6)4-8-7/h3H,4H2,1-2H3"
O2HC4H8CO,"1S/C5H9O3/c1-5(2,3-6)4-8-7/h7H,4H2,1-2H3"
C3H5OH,"1S/C3H6O/c1-2-3-4/h2,4H,1,3H2"
TIC4H7Q2-I,"1S/C4H9O4/c1-4(2,8-6)3-7-5/h5-6H,1,3H2,2H3"
IIC4H7Q2-T,"1S/C4H9O4/c1-4(2-7-5)3-8-6/h5-6H,2-3H2,1H3"
IIC4H7Q2-I,"1S/C4H9O4/c1-4(2-7-5)3-8-6/h4-6H,1-3H2"
CH2O2H,"1S/CH3O2/c1-3-2/h2H,1H2"
C4H4,"1S/C4H4/c1-3-4-2/h1,4H,2H2"
C4H3-I,"1S/C4H3/c1-3-4-2/h1H,2H2"
C4H3-N,1S/C4H3/c1-3-4-2/h1-3H
C4H612,"1S/C4H6/c1-3-4-2/h4H,1H2,2H3"
C4H2,1S/C4H2/c1-3-4-2/h1-2H
C4H5-I,"1S/C4H5/c1-3-4-2/h3H,1-2H2"
C4H5-N,"1S/C4H5/c1-3-4-2/h1,3-4H,2H2"
CH2CHCHCHO,"1S/C4H5O/c1-2-3-4-5/h2-4H,1H2"
C4H6O25,"1S/C4H6O/c1-2-4-5-3-1/h1-2H,3-4H2"
C2H3CHOCH2,"1S/C4H6O/c1-2-4-3-5-4/h2,4H,1,3H2"
C4H5-2,"1S/C4H5/c1-3-4-2/h1H2,2H3"
C4H6-2,1S/C4H6/c1-3-4-2/h1-2H3
C4H6O23,"1S/C4H6O/c1-2-4-5-3-1/h1,3H,2,4H2"
C4H4O,"1S/C4H4O/c1-2-3-4-5/h4H,1H3"
H2C4O,"1S/C4H2O/c1-2-4-3-5-4/h1,3H"
C6H6,1S/C6H6/c1-2-4-6-5-3-1/h1-6H
C6H5,1S/C6H5/c1-2-4-6-5-3-1/h1-5H
C6H2,1S/C6H2/c1-3-5-6-4-2/h1-2H
C6H3,"1S/C6H3/c1-3-5-6-4-2/h1-2,5H"
L-C6H4,"1S/C6H4/c1-3-5-6-4-2/h1-2,5-6H"
C-C6H4,"1S/C6H4/c1-3-5-6-4-2/h1,4H,2H2"
C6H5O,1S/C6H5O/c7-6-4-2-1-3-5-6/h1-5H
C6H5OH,"1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
P-C6H4O2,1S/C6H4O2/c7-5-1-2-6(8)4-3-5/h1-4H
O-C6H4O2,1S/C6H4O2/c7-5-3-1-2-4-6(5)8/h1-4H
P-C6H3O2,1S/C6H3O2/c7-5-1-2-6(8)4-3-5/h1-3H
C5H6,"1S/C5H6/c1-2-4-5-3-1/h1-4H,5H2"
C5H5,1S/C5H5/c1-2-4-5-3-1/h1-5H
C5H4O,1S/C5H4O/c6-5-3-1-2-4-5/h1-4H
C5H5O,1S/C5H5O/c6-5-3-1-2-4-5/h1-5H
C5H5OH,1S/C5H6O/c6-5-3-1-2-4-5/h1-6H
C5H4OH,"1S/C5H5O/c6-5-3-1-2-4-5/h1-4,6H"
C5H3O,1S/C5H3O/c6-5-3-1-2-4-5/h1-3H
C6H5OO,1S/C6H5O2/c7-8-6-4-2-1-3-5-6/h1-5H
C6H5OOH,"1S/C6H6O2/c7-8-6-4-2-1-3-5-6/h1-5,7H"
OC6H4OH,"1S/C6H5O2/c7-5-2-1-3-6(8)4-5/h1-4,7H"
C6H4OH,"1S/C6H5O/c7-6-4-2-1-3-5-6/h1-2,4-5,7H"
O-OC6H5OJ,1S/C6H5O2/c7-5-3-1-2-4-6(5)8/h1-5H
P-OC6H5OJ,1S/C6H5O2/c7-5-1-2-6(8)4-3-5/h1-5H
C5H6-L,"1S/C5H6/c1-3-5-4-2/h1,4-5H,2H3"
C5H7,"1S/C5H7/c1-2-4-5-3-1/h1-3H,4-5H2"
OC5H7O,"1S/C5H7O2/c6-4-2-1-3-5-7/h2,4-5H,1,3H2"
C5H81-3,"1S/C5H8/c1-3-5-4-2/h3-5H,1H2,2H3"
OC4H6O,"1S/C4H6O2/c5-3-1-2-4-6/h3-4H,1-2H2"
OC4H5O,"1S/C4H5O2/c5-3-1-2-4-6/h3H,1-2H2"
HOCO,"1S/CHO2/c2-1-3/h(H,2,3)"
O2CCHOOJ,"1S/C2HO4/c3-1(4)2(5)6/h(H,3,4)"
C6H101-5,"1S/C6H10/c1-3-5-6-4-2/h3-4H,1-2,5-6H2"
C6H9-A,"1S/C6H9/c1-3-5-6-4-2/h3-5H,1-2,6H2"
C3H2,1S/C3H2/c1-3-2/H1h2
C3H2(S),1S/C3H2/c1-3-2/H1h2
C3H2C,1S/C3H2/c1-2-3-1/h1-2H
H2CCC(S),1S/C3H2/c1-3-2/H1h2
C3H3O,"1S/C3H3O/c1-2-3-4/h3H,1H2"
C3H3O2H,"1S/C3H4O2/c1-2-3-5-4/h3-4H,1H2"
C2HCHO,"1S/C3H2O/c1-2-3-4/h1,3H"
CH3COCH2O,"1S/C3H5O2/c1-3(5)2-4/h2H2,1H3"
PC3H4OH-2,"1S/C3H5O/c1-2-3-4/h3-4H,1H3"
SC3H4OH,"1S/C3H5O/c1-3(2)4/h4H,1-2H2"
SC3H5OH,"1S/C3H6O/c1-2-3-4/h2-4H,1H3"
CH3CHCHO,"1S/C3H5O/c1-2-3-4/h2-3H,1H3"
AC4H7OOH,"1S/C4H8O2/c1-3-4-6-5-2/h3H,1,4H2,2H3"
CHOCHO,1S/C2H2O2/c3-1-2-4/h1-2H
C2H3OO,"1S/C2H3O2/c1-2-4-3/h2H,1H2"
CHCHO,1S/C2H2O/c1-2-3/h1-2H
C4H71-3OH,"1S/C4H8O/c1-3-4(2)5/h3-5H,1H2,2H3"
C4H71-1OH,"1S/C4H8O/c1-2-3-4-5/h3-5H,2H2,1H3"
C4H71-2OH,"1S/C4H8O/c1-3-4(2)5/h5H,2-3H2,1H3"
PC4H8OH-2,"1S/C4H9O/c1-2-3-4-5/h3,5H,2,4H2,1H3"
SC4H8OH-1,"1S/C4H9O/c1-3-4(2)5/h4-5H,2-3H2,1H3"
C4H6-1,"1S/C4H6/c1-3-4-2/h1H,4H2,2H3"
C5H10-1,"1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3"
C5H10-2,"1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3"
C5H91-3,"1S/C5H9/c1-3-5-4-2/h3,5H,1,4H2,2H3"
C5H91-4,"1S/C5H9/c1-3-5-4-2/h3-4H,1,5H2,2H3"
C5H91-5,"1S/C5H9/c1-3-5-4-2/h3H,1-2,4-5H2"
C5H92-4,"1S/C5H9/c1-3-5-4-2/h3-5H,1-2H3"
C5H92-5,"1S/C5H9/c1-3-5-4-2/h4-5H,1,3H2,2H3"
C5H9O1-3,"1S/C5H9O/c1-3-5(6)4-2/h3,5H,1,4H2,2H3"
C5H9O2-4,"1S/C5H9O/c1-3-4-5(2)6/h3-5H,1-2H3"
C4H7O1-4,"1S/C4H7O/c1-2-3-4-5/h2H,1,3-4H2"
BC5H10,"1S/C5H10/c1-4-5(2)3/h4H,1-3H3"
CC5H10,"1S/C5H10/c1-4-5(2)3/h4-5H,1H2,2-3H3"
CH2CHOCH2,"1S/C3H5O/c1-3-2-4-3/h3H,1-2H2"
HOC3H6O2,"1S/C3H7O3/c1-3(4)2-6-5/h3-4H,2H2,1H3"
CVCCVCCJ,"1S/C5H5/c1-3-5-4-2/h1,4-5H,2H2"
CVCYCCOC,1S/C4H6O/c1-4-2-5-3-4/h1-3H2
CCYC2OCO,"1S/C4H5O2/c1-4(2-5)3-6-4/h3H2,1H3"
AC3H5OCH2,"1S/C4H7O/c1-3-4-5-2/h3H,1-2,4H2"
SC3H5OCH2-1,"1S/C4H7O/c1-3-4-5-2/h3-4H,2H2,1H3/b4-3+"
C4H71-3OOCH3,"1S/C5H10O2/c1-4-5(2)7-6-3/h4-5H,1H2,2-3H3"
C4H72-1OOCH3,"1S/C5H10O2/c1-3-4-5-7-6-2/h3-4H,5H2,1-2H3/b4-3+"
"C8H141-5,3-4","1S/C8H14/c1-5-7(3)8(4)6-2/h5-8H,1-2H2,3-4H3"
"C8H141-5,3","1S/C8H14/c1-4-6-7-8(3)5-2/h4-6,8H,2,7H2,1,3H3/b6-4+"
C8H142-6,"1S/C8H14/c1-3-5-7-8-6-4-2/h3-6H,7-8H2,1-2H3/b5-3+,6-4+"
"C8H131-5,3-4,TA","1S/C8H13/c1-5-7(3)8(4)6-2/h5-7H,1-2H2,3-4H3"
"C8H131-5,3,TA","1S/C8H13/c1-4-6-7-8(3)5-2/h4-6H,2,7H2,1,3H3/b6-4+"
"C8H131-5,3,SA","1S/C8H13/c1-4-6-7-8(3)5-2/h4-8H,2H2,1,3H3"
"C8H131-5,3,PA","1S/C8H13/c1-4-6-7-8(3)5-2/h4-6,8H,1-2,7H2,3H3"
"C8H132-6,SA","1S/C8H13/c1-3-5-7-8-6-4-2/h3-7H,8H2,1-2H3/b6-4+"
"C8H132-6,PA","1S/C8H13/c1-3-5-7-8-6-4-2/h3-6H,1,7-8H2,2H3/b6-4+"
"C6H101-3,3","1S/C6H10/c1-4-6(3)5-2/h4-5H,1H2,2-3H3/b6-5+"
C6H10D24,"1S/C6H10/c1-3-5-6-4-2/h3-6H,1-2H3/b5-3+,6-4+"
"C8H131-5,3-4,TAO","1S/C8H13O/c1-5-7(3)8(4,9)6-2/h5-7H,1-2H2,3-4H3"
"C8H132-6,PAO","1S/C8H13O/c1-2-3-4-5-6-7-8-9/h2-3,6-7H,4-5,8H2,1H3/b3-2+,7-6+"
"C8H132-6,SAO","1S/C8H13O/c1-3-5-7-8(9)6-4-2/h3-6,8H,7H2,1-2H3/b5-3+,6-4+"
"C8H131-5,3,PAO","1S/C8H13O/c1-3-8(2)6-4-5-7-9/h3-5,8H,1,6-7H2,2H3/b5-4+"
"C8H131-5,3,SAO","1S/C8H13O/c1-4-6-8(9)7(3)5-2/h4-8H,2H2,1,3H3/b6-4+"
"C8H131-5,3,TAO","1S/C8H13O/c1-4-6-7-8(3,9)5-2/h4-6H,2,7H2,1,3H3/b6-4+"
"C7H111-5,3,6P","1S/C7H11/c1-4-6-7(3)5-2/h1,4-5,7H,2,6H2,3H3"
"C7H111-5,1P","1S/C7H11/c1-3-5-7-6-4-2/h1,3-4,6H,5,7H2,2H3/b6-4+"
C4H71-4O2,"1S/C4H7O2/c1-2-3-4-6-5/h2H,1,3-4H2"
C4H61-3OOH4,"1S/C4H7O2/c1-2-3-4-6-5/h2-3,5H,1,4H2"
C4H6O1-3OOH4,"1S/C4H7O3/c1-2-4(5)3-7-6/h2,4,6H,1,3H2"
C4H6O2-1OOH4,"1S/C4H7O3/c5-3-1-2-4-7-6/h1-2,6H,3-4H2/b2-1+"
C4H71-1O2,"1S/C4H7O2/c1-2-3-4-6-5/h3-4H,2H2,1H3/b4-3+"
C4H71-2O2,"1S/C4H7O2/c1-3-4(2)6-5/h2-3H2,1H3"
PC4H8OH-1,"1S/C4H9O/c1-2-3-4-5/h4-5H,2-3H2,1H3"
C4H72-1OH,"1S/C4H8O/c1-2-3-4-5/h2-3,5H,4H2,1H3/b3-2+"
PC4H8OH-3,"1S/C4H9O/c1-2-3-4-5/h2,5H,3-4H2,1H3"
C4H71-4OH,"1S/C4H8O/c1-2-3-4-5/h2,5H,1,3-4H2"
PC4H8OH-4,"1S/C4H9O/c1-2-3-4-5/h5H,1-4H2"
SC4H8OH-2,"1S/C4H9O/c1-3-4(2)5/h5H,3H2,1-2H3"
"C4H64,2-1OH","1S/C4H7O/c1-2-3-4-5/h2-3,5H,1,4H2"
PC4H8OH-2O2,"1S/C4H9O3/c1-2-4(3-5)7-6/h4-5H,2-3H2,1H3"
SQC4H8OP,"1S/C4H9O3/c1-2-4(3-5)7-6/h4,6H,2-3H2,1H3"
NC4KET21OH,"1S/C4H8O2/c1-2-4(6)3-5/h5H,2-3H2,1H3"
"C4H63,1-1OH","1S/C4H7O/c1-2-3-4-5/h2-5H,1H3"
C4H5OH-13,"1S/C4H6O/c1-2-3-4-5/h2-5H,1H2/b4-3+"
C2H4COCH2OH,"1S/C4H7O2/c1-2-4(6)3-5/h2,5H,3H2,1H3"
SQC4H7OHP-4,"1S/C4H9O3/c1-2-4(3-5)7-6/h4-6H,1-3H2"
CY(CCCO)COH,"1S/C4H8O2/c5-3-4-1-2-6-4/h4-5H,1-3H2"
HOCH2CHO,"1S/C2H4O2/c3-1-2-4/h1,4H,2H2"
SQC4H7OHP-4O2,"1S/C4H9O5/c5-3-4(9-7)1-2-8-6/h4-5,7H,1-3H2"
C4H6OHOOH1-4-3,"1S/C4H9O3/c5-3-1-2-4-7-6/h2,5-6H,1,3-4H2"
NC4KET24OH-1,"1S/C4H8O4/c5-3-4(6)1-2-8-7/h5,7H,1-3H2"
HOCH2COCH2,"1S/C3H5O2/c1-3(5)2-4/h4H,1-2H2"
HOCH2CO,"1S/C2H3O2/c3-1-2-4/h3H,1H2"
SC4H8OH-1O2,"1S/C4H9O3/c1-2-4(5)3-7-6/h4-5H,2-3H2,1H3"
PQC4H8OS,"1S/C4H9O3/c1-2-4(5)3-7-6/h4,6H,2-3H2,1H3"
NC4KET12OH,"1S/C4H8O2/c1-2-4(6)3-5/h3-4,6H,2H2,1H3"
PQC4H7OHS-3,"1S/C4H9O3/c1-2-4(5)3-7-6/h2,4-6H,3H2,1H3"
CCY(COCC)OH,"1S/C4H8O2/c1-3-4(5)2-6-3/h3-5H,2H2,1H3"
"C4H63,1-2OH","!1S/C4H7O/c1-3-4(2)5/h3,5H,2H2,1H3"
C2H5CHOHCO,"1S/C4H7O2/c1-2-4(6)3-5/h4,6H,2H2,1H3"
C3H6OH1-1,"1S/C3H7O/c1-2-3-4/h3-4H,2H2,1H3"
PQC4H7OHS-3O2,"1S/C4H9O5/c1-3(9-7)4(5)2-8-6/h3-6H,2H2,1H3"
NC4KET13OH-2,"1S/C4H8O4/c1-3(8-7)4(6)2-5/h2-4,6-7H,1H3"
HOCHCHO,1S/C2H3O2/c3-1-2-4/h1-3H
"C4H7O2-1,3OOH","1S/C4H9O5/c1-3(9-7)4(5)2-8-6/h3-4,6-7H,2H2,1H3"
C4H6OHOOH1-3-4,"1S/C4H9O3/c1-4(7-6)2-3-5/h4-6H,1-3H2"
C4H6OHOOH2-2-1,"!1S/C4H9O3/c1-3-4(2,5)7-6/h5-6H,2-3H2,1H3"
C4H72-2O2,"1S/C4H7O2/c1-3-4(2)6-5/h3H,1-2H3/b4-3-"
NC4KET24OH-3,"1S/C4H8O4/c1-3(5)4(6)2-8-7/h4,6-7H,2H2,1H3"
PC3H4OH-3,"1S/C3H5O/c1-2-3-4/h2-4H,1H2"
PC3H4OH-1,"1S/C3H5O/c1-2-3-4/h2,4H,1H3"
CH3COCHOH,"1S/C3H5O2/c1-3(5)2-4/h2,4H,1H3"
SC4H8OH-3O2,"1S/C4H9O3/c1-3(5)4(2)7-6/h3-5H,1-2H3"
SQC4H8OS,"1S/C4H9O3/c1-3(5)4(2)7-6/h3-4,6H,1-2H3"
C4H72-2OH,"1S/C4H8O/c1-3-4(2)5/h3,5H,1-2H3/b4-3-"
NC4KET23OH,"1S/C4H8O2/c1-3(5)4(2)6/h3,5H,1-2H3"
SQC4H7OHS-4,"1S/C4H9O3/c1-3(5)4(2)7-6/h3-6H,1H2,2H3"
"C4H63,1-3OH","1S/C4H7O/c1-3-4(2)5/h3,5H,1H2,2H3"
CH3COHCO,"1S/C3H4O2/c1-3(5)2-4/h5H,1H3"
SQC4H7OHS-4O2,"1S/C4H9O5/c1-3(9-7)4(5)2-8-6/h3-5,7H,2H2,1H3"
CH3COCOHCH3,"1S/C4H7O2/c1-3(5)4(2)6/h5H,1-2H3"
C4H6OHOOH1-2-3,"1S/C4H9O3/c1-2-4(3-5)7-6/h2,4-6H,3H2,1H3"
C4H6OHOOH1-2-3,"1S/C4H9O3/c1-2-4(3-5)7-6/h2,4-6H,3H2,1H3"
CH2COHCHO,"1S/C3H4O2/c1-3(5)2-4/h2,5H,1H2"
SC2H2OH,"1S/C2H3O/c1-2-3/h3H,1H2"
CH2COHCO,"1S/C3H3O2/c1-3(5)2-4/h5H,1H2"
C#CCVCCJ,"1S/C5H5/c1-3-5-4-2/h1,4-5H,2H2"
CVCCJCVC,"1S/C5H7/c1-3-5-4-2/h3-5H,1-2H2"
CVCCJCVCOH,"1S/C5H7O/c1-2-3-4-5-6/h2-6H,1H2"
HOCVCCVO,1S/C3H4O2/c4-2-1-3-5/h1-4H
CVCCVCCOH,"1S/C5H8O/c1-2-3-4-5-6/h2-4,6H,1,5H2"
HOCVCCJVO,"1S/C3H3O2/c4-2-1-3-5/h1-2,4H"
CJVCCVCCVO,1S/C5H5O/c1-2-3-4-5-6/h1-5H
CVCCVCCJVO,"1S/C5H5O/c1-2-3-4-5-6/h2-4H,1H2"
CJVCCVO,1S/C3H3O/c1-2-3-4/h1-3H
